Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description
1,What is the purpose of SAARC?,To promote the welfare of the people of South Asia,To improve the environment of security in the region,To accelerate economic growth and cultural development,All of the above,D,-
3,"When did Yuri Alekseyevich Gagaris of Russia, the first man to reach space, reached space?",1960,1961,1962,1963,B,-
3,"What is the height of Nainital, Uttaranchal above sea level?","7,500 ft above sea level","3,500 ft above sea level","7,168 ft above sea level","6,400 ft above sea level",A,-
1,When a given amount of air is cooled,the amount of moisture it can hold decreases,its absolute humidity decreases,its relative humidity remains constant,its absolute humidity increases,A,-
2,When did France became Republic?,1789 AD,1798 AD,1792 AD,1729 AD,C,-
3,What is the purpose of OECD (Organisation for Economic Cooperation and Development)?,Sustained economic growth,Employment,Higher standards of living,All of the above,D,-
2,When and where was weightlifting introduced in Olympics?,1986 at Athens,1988 at Seoul,1924 at St. Louis,1908 at London,A,-
3,What is the purpose of 'United Nations Conference on Trade and Development' (UNCTAD)?,Promotes International Trade with a view to accelerate economic growth of developing countries,Promotes International Monetary co-operation & expansion of International Trade,Set rules for World Trade,None of the above,A,-
3,What is the population density of Kerala?,819/sq. km,602/sq. km,415/sq. km,500/sq. km,A,-
3,What is the range of missile 'Akash'?,4 km,25 km,500 m to 9 km,150 km,B,-
1,What is the function of a dynamo?,To convert heat energy into light energy,To convert light energy into heat energy,To convert mechanical energy into electrical energy,To convert electrical energy into mechanical energy,C,-
2,What is the population density of Manipur?,107/sq. km,207/sq. km,307/sq. km,407/sq. km,A,-
2,Yuri Gagarin was,a Russian cosmonaut & became the first man to travel in space.,the first person to fly at great height of about 340 km from the earth,both (a) and (b),None of the above,C,-
1,When did Commander Robert Peary discovered North Pole?,1904,1905,1908,1909,D,-
1,When does the Indonesian settlement in the Malay Peninsula took place?,2400 BC,2300 BC,2200 BC,2100 BC,C,-
1,When did US solar system probe Voyager-two discovered six new moons of the planet Uranus?,1986,1916,1946,1966,A,-
3,What is the approximate area of Bihar?,"94,163 sq. km","1,35,100 sq. km","3,702 sq. km","1,96,024 sq. km",A,-
1,When did India hosted the Common wealth meeting?,1961 at Bangalore,1976 at Pune,1983 at New Delhi,None of the above,C,-
1,When did China exploded first atomic device?,1962,1963,1964,1965,C,-
2,What is the population density of Nagaland?,120/sq. km,220/sq. km,320/sq. km,420/sq. km,A,-
3,When is Lal Bahadur Shastri's death anniversary?,"January, 11","January, 20","January, 27","January, 31",A,-
1,When and where was basketball introduced in Olympics as a medal event?,1992 at Barcilona,1928 at Paris,1936 at Berlin,1900 at Athens,C,-
1,When did first test tube baby - Louise Brown born?,1939,1958,1981,1978,D,-
2,What is the density of population in Chandigarh?,"7,902/sq. km","1,008/sq. km","5,512/sq. km","2,669/sq. km",A,-
1,When cream is separated from milk,the density of milk increases,the density of milk decreases,the density of milk remains unchanged,it becomes more viscous,A,-
1,When did US astronauts Neil Armstrong and Edwin E. Aldrin land on the moon?,"July 21, 1969","July 21, 1970","July 21, 1963","July 21, 1972",A,-
3,What is the literacy rate of Punjab?,63.615 per cent,61.03 per cent,69.95 per cent,65.07 per cent,C,-
1,What is the S.I. unit of temperature?,Kelvin,Celsius,Centigrade,Fahrenheit,A,-
2,When did 19 NATO members and 11 'Partners for Peace' join hands for peace plan for Kosovo Crisis?,1999,1989,1979,1969,A,-
3,Yelena Isinbayeva is associated with which of the following games/sports?,Tennis,Pole vault,Boxing,Weightlifting,B,-
2,What is the Indus valley culture called Harappan culture?,The first discovery comes from Harappa,It was first discovery by a person called Harappa,Harappa is the biggest site discovered so far,Most of the valuable remains have come from Harappa,A,-
3,What is the population of Assam?,140/sq km,340/sq km,240/sq km,None of the above,B,-
2,What is the measurement of the badminton court for singles?,13.41 m x 6.10 m,13.41 m x 5.18 m,12.30 m x 7.66 m,12.30 m x 6.23 m,B,-
2,When did India enter into space age by launching the satellite 'Aryabhatta'?,1966,1932,1975,1990,C,-
1,What is Bhakti movement?,It is a social and religious movement form about AD 500 to 1600,It is the movement that influenced the developed of regional language because it emphasised people's everyday speech,both (a) and (b),None of the above,C,-
2,When and where athletics introduced in the Olympics?,1896 at Athens,1900 at Paris,1992 at Barcelona,1995 at Athens,A,-
3,What was the purpose of establishment of NATO?,To maintain and develop individual and collective capacity to resist armed attack,To defend economic and trade interests of the developing nations of the world,TO provide collective defence and economic cooperation in south-east Asia,None of the above,A,-
3,When and where is the next winter Olympics scheduled to be held?,"2015, Salt Lake City (USA)","2016, Turin (Italy)","2017, Nagono (Japan)","2018, Pyeongchang (South Korea)",D,-
1,What is the role of WTO (World Trade Organisation)?,To settle trade disputes between nations,To widen the principal of free trade to sectors such as services and agriculture,both (a) and (b),None of the above,C,-
2,What is the measurement of the volleyball court?,5 m x 4 m divided into two parts by a net,8 m x 7 m divided into two parts by a net,18 m x 9 m divided into two parts by a net,12 m x 11 m divided into two parts by a net,C,-
1,What were the main factors responsible for World War I?,Nationalism and imperialism,Militarism and entangling alliances,"Mutual rivalry, hatred and distrust within the countries",All of the above,D,-
2,When did Christopher Columbus discovered the West Indies?,1455 AD,1492 AD,1139 AD,1556 AD,B,-
3,When did the USSR formally disintegrates into 15 republics?,1991,1992,1993,1994,A,-
1,What was the purpose of EFTA (European Free Trade Association)?,To remove all tariffs on trade of industrial goods between the member countries,To aid the creation of a single west European market to help boost world trade,both (a) and (b),None of the above,C,-
3,What is the normal red blood count per cubic mm?,2 million red blood cells,3 million red blood cells,4 million red blood cells,5 million red blood cells,B,-
2,What is the population density of Andhra Pradesh?,275/sq km,13/sq km,340/sq km,154/sq km,A,-
3,"When there is a decrease in the concentration of oxygen in the blood, the breathing rate",increases,decreases,first increases and then decreases,is not affected,A,-
3,What is the duration of football match?,Two 15 minute period with a reset at half time,Two 25 minute period with a reset at half time,Two 35 minute period with a reset at half time,Two 45 minute period with a reset at half time,D,-
2,When did Ashoka became emperor of India?,336 BC,375 BC,279 BC,264 BC,D,-
3,What was the purpose of establishing the European Economic Community (EEC)?,To promote a common market and economic prosperity among member countries,To create a single market for free import and export among,both (a) and (b),None of the above,C,-
3,Where did 2010 Commonwealth Games took place?,"Beijing, China.","Kuala Lumpur, Malaysia","Victoria, Canada","New Delhi, India",D,-
2,What is the literacy rate of Chhattisgarh?,47.53 per cent,65.18 per cent,82.32 per cent,60.91 per cent,B,-
1,What is the covered area of Gujarat state?,"3,702 sq. km","1,35,100 sq. km","1,96,024 sq. km","94,163 sq. km",C,-
3,What is the capital of Dadra and Nagar Haveli?,Daman,Silvassa,Dispur,Shilling,B,-
2,What is the literacy rate of West Bengal?,69.22 per cent,72.29 per cent,51.33 per cent,70.13 per cent,A,-
3,What is the circumference of table tennis ball?,3.71-3.82 cm,4.72-4.82 cm,2.72-2.82 cm,None of the above,A,-
1,What is the capital of Jharkhand?,Raipur,Dehradun,Ranchi,None of the above,C,-
3,When did Hitler became President of Germany?,1934,1935,1936,1937,A,-
1,What is the Commonwealth of Independent States (CIS)?,Group of 53 former colonies of Britain,Group of 12 former republics of dissolved USSR,Group of 10 Latin America countries,Group of Islamic countries in Saudi Arabia region,B,-
3,What is the literacy rate of Mizoram?,88.49 per cent,63.31 per cent,67.11 per cent,50.23 per cent,A,-
3,What is the literacy rate of Himachal Pradesh?,68.59 per cent,77.13 per cent,22.63 per cent,54.40 per cent,B,-
2,"When the batsman, in cricket, is out without scoring a single run, is called",drive,duck,flight,googly,B,-
1,What is the literacy rate of Maharashtra?,77.27 per cent,66.26 per cent,55.25 per cent,44.24 per cent,A,-
1,What is Magna Carta?,It was a charter of Rights granted to the Englishmen during 1215 AD by King John II,"It was a charter guaranteeing the freedom of the barons, the church and the common man",It is the foundation stone of the rights and liberties of the English people,All of the above,D,-
1,When does Russia celebrates its Independence Day?,14th November,8th October,9th August,12th June,D,-
3,What is the language mostly used in Madhya Pradesh?,Hindi,Marathi,English,Malayalam,A,-
2,Which countries from the membership of CACM (Central American Common Market)?,"Costa Rica, EI Salvador, Guatemala, Honduras, Nicaragua","Bogota, EI Salvedor, Honduras","Washington DC, Bogota, Guatemala",All of the above,A,-
3,Which company manufacturers low and high power communication equipment like radius for the use of defence services and paramilitary organisations?,Bharat Electronics Limited (BEL),God Shipyard Limited (GSL),Bharat Dynamic Limited (BDL),None of the above,A,-
1,Where is the Judicature of Orissa?,Bhubaneswar,Cuttack,Both,None of the above,B,-
3,Which of the following are the members of SAARC (South Asian Association for Regional Cooperation)?,"Bhutan, Bangladesh, India and Pakistan","Bhutan, Bangladesh, the Maldives, Nepal, India, Pakistan, Afghanistan and Sri Lanka","Afghanistan, Pakistan, Thailand, Indonesia, Nepal and Sri Lanka",None of the above,B,-
3,Where is the permanent secretariat of the SAARC?,Kathmandu,New Delhi,Islamabad,Colombo,A,-
3,Which is the oldest paramilitary force in the country?,Border Security Force (BSF),Assam Rifles,Indo-Tibetan Border Police (ITBP),Coast Guard,B,-
1,When was Mahatma Gandhi assassinated?,1948,1951,1958,1971,A,-
1,Which is the India's largest and the oldest museum?,"Indian Museum, Kolkata","National Museum, New Delhi",Allahabad Museum,"Salar Jung Museum, Hyderabad",A,-
2,When was pottery developed in the Indus Valley?,5000 BC,6000 BC,3500 BC,2600 BC,C,-
1,Which Academy promotes and develops literature in all the 22 languages of India?,Sahitya Academy,Sangeet Natak Academy,Lalit Kala Academy,None of the above,A,-
1,Which of the following agencies related to the United Nations is concerned with promoting the growth of international trade and equilibrium in balance of payments?,United Nations Industrial Development Organisation,International Development Association,International Bank for Reconstruction and Development Organisation,United Nation Development Programme,C,-
1,Which of the following are the members of CARICOM?,"Angrilla, Antigua, Trinidad, Tobago","Barbados, Belize, St. Lucia, St. Vincent","Dommica, Grenade, Guyana, Jamaica",All of the above,D,-
2,When was the International Monetary Fund established?,1945,1946,1947,1950,A,-
3,"Which company carries the construction of submarines, missile-boats and destroyers and so on for the India navy and offshore supply vessels and well-head platforms and so on?",Mazgaon Dock Limited (MDL),Garden Reach Shipbuilders and Engineering Limited (GRSE),Goa Shipyard Limited (GSL),None of the above,A,-
2,Which is the major mineral found in Punjab?,Coal,Gold,Salt,Iron,C,-
1,When was Shakespeare born?,1564 AD,1618 AD,1642 AD,1776 AD,A,-
1,Which city in Tamil Nadu has airport?,Chennai,Triuchirapalli,Madurai,All of the above,D,-
3,Which minerals are found in Chhattisgarh?,"Iron-ore, limestone, dolomite","Coal, bauxite, corundum","Gaunet, guartz, marble, diamond",All of the above,D,-
3,Which is post-harvest folk dance in Assam?,Bihu,Ojapali,Ankia Nat,None of the above,A,-
2,Which country hosted the first Asian Games?,India,Indonesia,Iran,Malaysia,A,-
2,Which Indian satellite had a main function to perform X-ray experiments in space and send back data to earth?,Aryabhatta,Bhaskara II,Bhaskara IL,None of the above,A,-
3,Which is the language used in Bihar?,Hindi,Marathi and English,Urdu,Bangla,A,-
1,Which is India's largest library with a collection of over 190 million volumes of reading and information material?,National Book Trust,National Library,National Educational Resource Centre,None of the above,B,-
1,Which of the following UN agencies has its headquarters at Paris?,UNESCO,ILO,FAO,IMO,A,-
3,Which amongst the following has the lowest metabolic rate of oxygen consumption (mm3/g hour)?,Dog,Elephant,Horse,Man,B,-
1,Which of the following causes Poliomyelitis?,Dengue virus,Enterovirus,Mumps virus,Rhabdovirus,B,-
3,Where is the BARC's Research Centre?,"Variable Energy Cyclotron Centre, Kolkata","Nuclear Research Lab, Kashmir","High Altitude Research Lab, Gulmarg",All of the above,D,-
3,Zawar (Rajasthan) is famous for,ship manufacturing,zinc mines,salt,major port,B,-
1,Which of the following cities will be the host of XIX Commonwealth Games 2010?,London,Delhi,Melbourne,Auckland,B,-
2,Which language of India belongs to Dravidian family?,Languages of Northern India,Languages of Southern India,Languages of Eastern India,Languages of Western India,B,-
1,Which of the following became the first black President of South Africa?,Nelson Mandela,George Washington,Jamo Kenyatta,None of the above,A,-
2,Which of the following cities of Maharashtra have airports?,Mumbai and Nagpur,Pune,Sholapur and Akola,All of the above,D,-
3,Where did last world cup soccer tournament took place (2010)?,Japan and South Korea,France,South Africa,West Germany,C,-
2,"When was Ranasingha Premadasa, President of Sri Lanka, assassinated?",1963,1973,1983,1993,D,-
2,Which of the following are the native languages of Manipur?,Manipuri and English,Marathi and Hindi,Manipuri,None of the above,A,-
1,"Where did the three leaders, F.D. Roosevelt, Winston Churchill and Joseph Stalin, meet in 1943 and agreed on the need for maintaining international peace?",Moscow,San Francisco,Teheran,Washington D.C.,C,-
1,Where was the headquarters of European Union located?,Brussels,Paris,London,Rome,A,-
1,When was the city Rome found by Romulus?,753 BC,604 BC,660 BC,None of the above,A,-
3,Which launch vehicle is capable of placing around 1540 kg of INSAT class of satellites in geosynch-ronous transfer orbit of earth?,SLV-S,PSLV,ASLV,GSLV,D,-
3,Which industries are common in Andhra Pradesh?,Cement and paper,"Asbestos and units of HMT, BHEL",Hindustan Shipyard and Bharat Dynamics Limited,All of the above,D,-
3,Which of the following act as a channel of transmission of blood to the heart in the human body?,Arteries,Muscle fibres,Nerves,Veins,D,-
3,Which of the following of the members of OPEC (Organisation of Petroleum Exporting Countries)?,"Algeria, Indonesia, Iran, Iraq, Kuwait","Libya, United Arab Emirates, Nigeria","Qatar, Saudi Arabia, Venezuela",All of the above,D,-
2,Which of the following acts as a resistance against in the body?,Carbohydrates,Red corpuscles,Vitamins,White corpuscles,D,-
1,Which of the following chemicals is useful in photography?,Aluminium hydroxide,Potassium nitrate,Silver bromide,Sodium chloride,C,-
3,Which are the important meeting of the Commonwealth?,Biennial meeting of the Commonwealth Heads of Government (CHOGM),Annual meeting of the finance minister of the member countries,"Regular meeting of the minister of education, law, health and other minister",All of the above,D,-
1,When was slavery abolished in Britain?,1830,1837,1843,1833,D,-
1,Which is the biggest literary award of Britain?,David Cohen Award,Kalinya Award,Owen Global Prize,Golden Bear Award,A,-
3,Which industries are found in Goa?,"Mining and various small-scale industries like manufacturing soaps, paper and so on",steel and cement industries,Oil refineries,None of the above,A,-
2,"Which body of UNO carries on the function of the UNO with regard to international, economic, social, cultural, education, wealth and related matters?",General Assembly,Security Council,The Economic and Social Council,Trusteeship Council,C,-
2,Which atomic reactor is used for studies of uranium heavy water lattice?,Apsara,Zerlina,Dhruva,Purnima-I,B,-
2,Which language is spoken in Karnataka?,Marathi,Hindi,Malayalam,Kannada,D,-
3,Which are the important minerals found in manipur?,"Sillimanite, nickel, petroleum","Oil, coal, manganese","Iron, lime, bauxite",None of the above,A,-
2,When was Lord Buddha born?,586 BC,1000 BC,560 BC,750 BC,C,-
3,Which missile is designed to defend large installation like oil-fields etc. against enemy air attacks?,Akash,Nag,Agni,Prithvi,A,-
1,"When was Zoroaster, the founder of Zoroastrianism born in Media(Iran)?",2000 BC,660 BC,1075 BC,740 BC,B,-
3,"When was Prophet Mohamed, the founder of Islam, born?",420 AD,570 AD,868 AD,1138 AD,B,-
2,Which are the main crops of Arunachal Pradesh?,"Rice, maize, millet, wheat, mustard","Rice, tobacco, oilseeds, jute, cotton","Tea, jute, rice, cotton, silk",None of the above,A,-
1,Which of the following inventions were done by Thomas Alva Edison?,Incandescent lamp,Phonograph C (Gramophone) and microphone,Carbon telephone transmitters,All of the above,D,-
1,Which of the following are the member countries of the commonwealth?,"Australia, Tonga, UK and Zimbabwe","Nigeria, Pakistan, India, Jamaica and Singapore","Mauritius, Maldives, Ghana, Bangladesh",All of the above,D,-
1,When was Mona Lisa painted by Leonardo da Vinci?,1431 AD,1492 AD,1504 AD,1556 AD,C,-
1,Which of the following agencies related to the United Nation was in existence before the Second World War?,Food and Agricultural Organisation,International Labour Organisation,World Health Organisation,International Monetary Fund,B,-
2,Which is the state with largest urban population?,West Bengal,Maharashtra,Kerala,Goa,B,-
1,Which of the following are the important sects of Islam?,Catholics and Protestants,Sunnis and Shias,Mahayana and Hinayan,None of the above,B,-
2,"Where is the sports stadium, Green Park, located?",Kanpur,Jamshedpur,Cuttack,Patiala,A,-
3,Which Bank has the maximum number of branches?,ICICI Bank,HDFC Bank,State Bank of India,State Bank of Patiala,C,-
3,When was table tennis introduced in Olympics?,1896 at Athens,1988 at Seoul,1924 at Paris,1924 at Seoul,B,-
1,Which is the associated sport of Bombay Gold Cup?,Basketball,Weightlifting,Hockey,Football,C,-
2,Which is the place of worship for Judoists?,Synagogue,First temple,No church or temple,Monastery,A,-
3,Which is the sacred text of Hinduism?,The Vedas,The Bhagavad Gita,The epics of the Mahabharata and the Ramayana,All of the above,D,-
1,Which amongst the following mammals has the highest metabolic rate in terms of oxygen consumption (mm3/g hour)?,Dog,Mouse,Rabbit,Rat,B,-
3,When was Mandela inaugurated as first black President?,1994,1999,2000,None of the above,A,-
3,Which among the sources of energy tapped in India has shown the largest growth till the Eighth plan?,Hydro,Thermal,Gas,Nuclear,B,-
3,Which body of UNO gives advisory opinion on legal matters to the bodies and special agencies of the UNO?,The Security Council,International Court of Justice,Trusteeship Council,Secretariat,B,-
1,Which is the highest literary award of the world?,Nobel Prize,Booker Prize,Pulitzer Prize,Magsaysay Award,B,-
3,Which is the oldest paramilitary force in the country?,Border Security Force (BSF),Assam Rifles,Indo-Tibetan Border Police (ITBP),Coast Guard,B,-
1,When was Mahatma Gandhi assassinated?,1948,1951,1958,1971,A,-
2,Which is the India's largest and the oldest museum?,"Indian Museum, Kolkata","National Museum, New Delhi",Allahabad Museum,"Salar Jung Museum, Hyderabad",A,-
3,When was pottery developed in the Indus Valley?,5000 BC,6000 BC,3500 BC,2600 BC,C,-
1,Which Academy promotes and develops literature in all the 22 languages of India?,Sahitya Academy,Sangeet Natak Academy,Lalit Kala Academy,None of the above,A,-
