Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description,
3,A special type of device which uses an ordinary telephone with a computer is,Light pen,Mouse,Acoustic couple,Touch panel,C,-,
1,The first electronic general purpose digital computer built by Mauchly and Eckert called ENIAC did not work on the stored program principle. How many numbers could it store in its internal memory?,100,20,40,80,B,-,
3,"A hand-held device for optically reading bar codes on goods, labels & shelves is",Wand,Touch tablet,Mouse,Light pen,A,-,
2,In analog computer,Input is first converted to digital form,Input   is   never   converted   to digital form,Output is displayed in digital form,All of the above,B,-,
2,The decimal equivalent of the binary number 11100001111 is,1806,1807,2806,All of the above,B,-,
2,A disk storage medium in the form of an assembly containing a single rigid magnetic disk permenently is,fixed disk,disk cartridge,card punch,card reader,B,-,
1,The benefit of using computers are that,Computers are very fast and can store huge amounts of data,Computers produce accurate output even when the input is incorrect,Computers are designed to the inflexible,All of the above,A,-,
3,Which is a Common-Business oriented language.,SNOBOL,BASIC,COBOL,C,C,-,
3,Software instructions intended to satisfy a user's specific processing needs are called _____.,Systems software,A microcomputer,Documentation,Applications software,D,-,
3,Which of the following file organizations is most efficient for a file with a high degree of file activity?,sequential,ISAM,VSAM,B-Tree index,A,-,
2,"What is the name of the reading device which mades use of photosensors and laser technologies to interpret printed, typed or even hand-written data directly from the source documents?",MICR,OCR,Mark-sensing device,ATM,B,-,
2,A(n) ____ device is any device that provides information which is sent to the CPU.,input,output,CPU,memory,A,-,
3,The range of frequencies available for data transmission is known as,Baud,Bandwidth,Byte,Bits,B,-,
1,Full adder has,4 inputs,8 inputs,10 inputs,3 inputs,D,-,
1,Which major development led to the production of microcomputers?,Magnetic disks,Floppy disks,Logic gates,Integrated circuits,D,-,
1,The first computer made available for commercial use was,Mark-I,ENIAC,EDSAC,UNIVAC,D,-,
3,"In which mode, each user has a local input/output device.",Interactive,Time sharing mode,Batch processing mode,All of the above,B,-,
2,Sometime data are gathered over a period of time and collected into a group before entering them into a computer for processing. What type of processing is it called?,Interactive processing,Sequential processing,Batch processing,Group processing,A,-,
1,Which of the following is considered a direct-entry input device?,optical scanner,mouse,light pen,All of the above,D,-,
1,A physical connection between the microprocessor memory and other parts of the microcomputer is known as,Path,Address bus,Route,All of the above,B,-,
1,An IBM System/38 represents the computer class of:,small-scale computer,medium-scale computer,large-scale computer,super computer,A,-,
2,Which hole is used to mark the location of the first sector in a soft-sectored disk.,Address,Location,Index,Label,C,-,
1,Which system was developed by Rank-Xeron for use with office computers and other equipment.,UNIX,ETHERNET,PC-DOS,MS-DOS,B,-,
1,Bubble memory is a,Sequential access device only,Direct access device only,Combination of sequential and direct access devices,All of the above,C,-,
2,Any method for controlling access to or use of memory is known as,Memory map,Memory protection,Memory management,Memory instruction,B,-,
2,"If, in a computer, 16 bits are used to specify addresses in a RAM, the number of addresses will be",216,65536,64K,Any of the above,D,-,
1,What is the storage capacity of a Hollerith card which is organized into nibbles?,32,64,128,240,D,-,
2,A type of instruction that can produce several lines of machine language code is a,Mnemonic,Address,Macro,assemble,C,-,
1,A common use of computer in office is for,Distributed,Word processing,Data,All of the above,B,-,
1,The imitation of one device or system by another is,Simulation,Emulation,Resilience,Compaction,B,-,
2,A type of semiconductor memory that usually has small capacity but very fast access is,PROM,RAM,Scratchpad,ROM,C,-,
2,Third generation computers,were the first to use built-in error detecting devices,used transistors instead of vacuum tubes,were   the   first   to   use   neural network,All of the above,E,-,
2,High-level languages are not concerned with computer but with,Assembler,Machine code,Compiler,All of the above,A,-,
3,Which of the following term is used in connection with the organisation of files in ALGOL 68,Blow,Machine,Biquinary,Book,D,-,
3,"The methods used by COBOL to define that structure of a data item in terms of characters, digits, etc. is",Password,Pointer,Picture,Overlay,C,-,
3,Which of the following transfers data contained on computer cards to the computer system.,Card sorter,Card reader,Magnetic disk,Magnetic tape,B,-,
3,The difference between memory and storages is that memory is _____ and storage is _____,"Temporary, permanent","Permanent, temporary","Slow, fast",AH of the above,A,-,
2,Which most popular input device used today for interactive processing & for the on line entry of data for batch processing.,Mouse,Magnetic disk,Visual display terminal,Card punch,C,-,
2,A fully functional computing device containing all the elements of a computer which is built around a MICROPROCESSOR is known as,Machine-in-built computer,Super computer,Micro computer,Mini computer,C,-,
3,There are historical evidences to prove that abacus was first used in,India,Japan,China,Indonesia,C,-,
3,A class of random access memory that requires periodic servicing in order for the contents to remain valid is,Static RAM,Dynamic RAM,PROM,EPROM,B,-,
2,A six - digit card field used for postal ZIP codes is defined as,A letter field,An alphabetic field,A numeric field,An alphanumeric field,C,-,
3,The octal equivalent of the number 11010.1011 is,32.54,63.51,32.27,All of the above,A,-,
3,Super-computers,Are found at thousands of sites around the world,Can now fit on a single silicon chip,Are usually designed to process accounting applications,Are not fast enough for some applications,D,-,
3,A special type of device which uses an ordinary telephone with a computer is,Light pen,Mouse,Acoustic couple,Touch panel,C,-,
2,The first electronic general purpose digital computer built by Mauchly and Eckert called ENIAC did not work on the stored program principle. How many numbers could it store in its internal memory?,100,20,40,80,B,-,
3,Computer can not do anything without a,Chip,Memory,Output device,Program,D,-,
2,The ability of a computer system to remain operational despite various failures is,Relation,Schema,Resilience,Versatility,C,-,
2,Which of the following memories must be refreshed many times per second?,Static RAM,Dynamic RAM,EPROM,ROM,B,-,
3,The third generation of computers covers the period:,1971-1982,1982-1994,1959-1964,1965-1971,D,-,
3,An electronic logic gate whose output is logic 0 only when all inputs are logic 1 is,NOR,NAND,OR,NOT,B,-,
2,Which of the following is the expansion of EBCDIC,Extended   bit   comparable   to digital interface for computer,Extended bootable computerised digital infrared calculator,Extended binary coded decimal interchange code,Extended binary coded decimal information code,C,-,
3,A vertically aligned set of tracks on a disk pack is known as,Cluster,Surface,Cylinder,Panel,C,-,
2,Which is an electronic device that can store temporarily a single bit of data.,Accumulator,Buffer,Memory,Latch,D,-,
2,A digital device that processes data is known as,Data processor,Data entry,DBMS,Database,A,-,
2,A generalised software package produced to meet the bugs of a variety of data processing users is known as,Utility programs,System software,Operating system,Application package,D,-,
3,Who is 1988 announced the latest version of CD-ROM called CD-ROMXA (extended architecture) which provides a documented means of integrating digital audio with computer data on a CD-ROM disk?,Sony,Philips,Microsoft,All of the above,D,-,
2,Third generation computers,Were the first to use integrated circuitry,Were the first to use built-in error detecting devices,Used transistors insted of vaccum tubes,All of the above,A,-,
2,What is the name of the display feature that highlights areas of the screen which require operator attention?,Pixel,Reverse video,Touch screen,Cursor,B,-,
1,To set a register or counter to the all-zero-state is,Rerun,Reset,Remote,Release,B,-,
3,Which is used to store firmware.,RAM,ROM,PROM,EPROM,B,-,
3,Which of the following is NOT a primary storage device?,Magnetic tape,Magnetic disk,Optical disk,All of the above,D," Primary storage, also known as main storage or memory, is the main area in a computer in which data is stored for quick access by the computer's processor. On today's smaller computers, especially personal computers and workstations, the term random access memory (RAM) - or just memory - is used instead of primary or main storage, and the hard disk, diskette, CD, and DVD collectively describe secondary storage or auxiliary storage. ",
3,A device that prints one character at a ! time is kknown as,Laser printer,Line printer,Character printer,Dot-Matrix printer,C,-,
2,A mechanism for arranging controlled access to a shared resource is,Retrieving,Sorting,Balleting,Lock-out,D,-,
3,A data item which is not broken down into smaller units is _____,Data element,Elementary data item,Data entry,Database management,B,-,
1,A computer is a box full of electronic,Switching devices,Chips,Circuits,Registers,A,-,
1,What are the concentric circles on floppy disks know as?,Tracks,Cylinders,Sectors,Segments,A,-,
3,A one-bit signal that indicates the start of data transmission by an asynchronous device is,Parity bit,Status bit,Zero bit,Start bit,D,-,
1,"Registers which are partially visible to users and used to hold conditional codes (bits set by the CPU hardware as the result of operations), are known as",PC,Memory Address Registers,General purpose registers,Flags,D,-,
1,An electronic circuit with about 20 transistors fabricated on a silicon chip is known as,SSI,MSI,DPS,RJE,A,-,
2,Instructions and memory addresses are represented by,character codes,binary codes,binary word,parity bit,B,-,
3,Which type of computers use the 8 bit code called EBCDIC?,Minicomputers,Microcomputers,Mainframe computers,Supercomputers,C,-,
3,Which generation of computers is covered by the period 1964-77?,First,Second,Third,Forth,C,-,
2,First CAD system called AutoCAD for the PCs was announced in the year 1982. Can you tell who announced it?,Intel Corpn.,Rolta India Ltd.,Autodesk Inc,AT & T Corp.,C,-,
1,Main storage is also called,Accumulator,Control unit,Register unit,memory,D,-,
2,Which printer is very commonly used for desk-top publishing?,Laser printer,Ink-jet printer,Daisy wheel printer,Dot-matrix printer,A,-,
3,"Hard disks are formatted in the same manner as floppy disks. However, before a hard disk can be formatted, it must first be _____",partitioned,sectioned,deleted,inter-sectioned,A,-,
1,The no of logical records in a physical record is,Group,Blocking factor,Sector,Field,B,-,
3,"Personnel who design, program, operate and maintain computer equipment refers to",Console-operator,Programmer,Peopleware,System Analyst,C,-,
3,The magnetic storage chips used to provide nonvolatile direct access storage of data and that have no moving parts are known as,Magnetic core memory,Magnetic tape memory,Magnetic disk memory,Magnetic bubble memory,D,-,
3,In the third generation of computers:,distributed data processing first became popular,an operating system was first developed,high-level procedural languages were first used,"on-line, realtime systems first became popular",D,-,
1,A common example of a data storage medium is,cartidge,floppies,cluge,disk,D,-,
2,IBM-PC is an example of,A main frame,Machine-in-built,Micro computer,Special purpose,C,-,
1,Which of the following will happen when data is entered into a memory location?,It will add to the content of the location,It will change the address of the memory location,It will erase the previous content,It will not be fruitful if thjere is already some data at that location,C,-,
1,All inputs must be in ON position to have an output is known as,NOT gate,AND gate,OR gate,XOR gate,B,-,
1,The intersection of a column and row in a spreadsheet is called a bon or,Key,Field,Cell,Menu,C,-,
2,"A magnetic storage device on which data is stored on a cylindrical drum, subdivided into tracks is known as",Punched card,Magnetic disk,Magnetic tape,Drum,D,-,
2,The number of bits that are typically stored on each track of a magnetic disk is usually,the same,different,depend on the program to be stored,All of the above,A,-,
2,The silicon chips used for data processing are called,RAM chips,ROM chips,Micro processor,PROM chips,C,-,
2,The code that should be adequate for present and anticipated data processing both for machine and human use is,Conciseness,Uniqueness,Operability,All of the above,C,-,
2,What is the number of bit patterns provided by a 7-bit code?,256,128,64,512,B,-,
2,The basic unit within a computer store capable of holding a single unit of data is,Register,ALU,Control unit,Store location,D,-,
1,An error in computer data is called,Chip,Bug,Bit,Byte,B,-,
3,A system program which helps the execution of user programs is known as,System software,Application program,Batch operating system,Utilities,C,-,
3,LISP was developed by,John Mc Carthy,Blaise Pascal,Dr. Hollerith,John Napier,A,-,
2,Which of the following is the expansion of EBCDIC,Extended   bit   comparable   to digital interface for computer,Extended bootable computerised digital infrared calculator,Extended binary coded decimal interchange code,Extended binary coded decimal information code,C,-,
3,A vertically aligned set of tracks on a disk pack is known as,Cluster,Surface,Cylinder,Panel,C,-,
2,Which is an electronic device that can store temporarily a single bit of data.,Accumulator,Buffer,Memory,Latch,D,-,
3,A digital device that processes data is known as,Data processor,Data entry,DBMS,Database,A,-,
2,A generalised software package produced to meet the bugs of a variety of data processing users is known as,Utility programs,System software,Operating system,Application package,D,-,
1,The first mechanical calculating machine was made by,William Oughtred,Gottfried Leibnitz,Blaise Pascal,Charles Babbage,C,-,
3,Which programming language is much in vogue among users of microcomputers,ALGOL,APL,LOGO,FORTH,D,-,
3,Multiplication of 1112 by 1012 is,1100112,1000112,1111002,1012,B,-,
1,Which of the following registers is used to keep track of address of the memory location where the next instruction is located?,Memory Address Register,Memory Data Register,Instruction Register,Program Counter,D,-,
1,Which    is   not    a   factor    when categorizing a computer?,Speed of the output device,Amount  of main  memory  the CPU can use,Cost of the system,Capacity of the hard disk,E,-,
3,Conversion of an octal number 208 to its binary number is,100002,101112,101102,111102,A,-,
2,Which of the following is a system programming language for micro-computers in the Intel family.,LOGO,SNOBOL,PCM,PL/1,C,-,
1,Which of the following can be output by a computer?,graphics,voice,text,computer-usable data or information,D,-,
2,Sequential file organization is most appropriate for which of the following applications?,grocery-store checkout,bank checking accounts,payroll,airline reservations,C,-,
2,"Who is called the ""grand father"" of the computer?",Blaise Pascal,Charles Babbage,Joseph Jacquard,Dr. Herman Hollerith,B,-,
1,Which input device is able to scan & interpret an entire page that is typed in a special font,Floppy disk,Page reader,Paper tape punch,Optical card readers,B,-,
2,A half byte is know is,Data,Bit,Half byte,Nibble,D,-,
1,"Which language is used in the areas of pattern recognition, artificial intelligence & for simulation of games.",APL,FORTH,LISP,CORAL,C,-,
1,Which company is the biggest player in the microprocessor industry?,Motorola,IBM,Intel,AMD,C,-,
3,A medium for transferring data between two locations is called,Network,Communication channel,Modem,Bus,B,-,
3,An adder in which the bits of the operands are added one after another is,Half-adder,Full-adder,Serial adder,All of the above,C,-,
1,"The OR, XOR & AND functions can be performed by _____ of the computer in a CPU.",ALU,CU,Memory,Register,A,-,
1,A prewritten program that's sold to perform a common task is called an application,System software,Package,Utilities,Program,B,-,
1,Locations in the main memory of a computer are called,Alphabets,Words,Data,Characters,B,-,
1,Which of the following is a communication network that is devoted to carrying computer information.,Data point,Data module,Data network,Data pack,C,-,
1,The minimum number of MOS transistors required to make a dynamic RAM cell is,1,2,3,4,A,-,
2,Conversion of an octal number 1428 to binary number is,11000102,1101102,11000112,11011012,A,-,
3,"Which of the following is used as ""Input device"" for the computer?",Printer,VDU,TV,Light pen,D,-,
2,A machine associated with card-based data processing is,Codomain,Collator,Cartridge,Digitizer,B,-,
2,"The most popular language used with microcomputers and time-shared mini computers, is an easy-to-use high level language.",COBOL,ADA,PASCAL,BASIC,D,-,
1,Primary  storage is _____ as compared to secondary storage.,Slow and inexpensive,Fast and inexpensive,Fast and expensive,Slow and expensive,C,-,
2,Offline device is,a device which is not connected to CPU,a device which is connected to CPU,a direct access storage device,an I/O device,A,-,
1,"The process of fetching and executing instructions, one at a time, in the order of increasing addresses is known as",instruction execution,straight line sequencing,instruction fetch,random sequencing,B,-,
2,"What is the term which represents the use of links between information of all sorts whether text, graphics, video oi audio-based?",Hypertext,Hypermedia,HyperCard,Wildcard,B,-,
1,Codes which do not require to be frequently updated also promote user efficiency due to,Simplicity,Sortability,Stability,Expansibility,C,-,
3,A packet switching network that was sponsored by the Commission of the EEC and became operational in 1979 is,LAN,Broadband network,Star network,Euronet,D,-,
1,What is the standard code the computer industry created to represent characters?,DASI,ASSH,ASCII,BASCII,C,-,
3,A sizeable geographical area with communication based on the telephone system is though as,Local area network,Wide area network,Modulator-Demodulator,All of the above,B,-,
2,A Winchester disk is a,Disk Stack,Removable disk,Flexible disk,All of the above,A,-,
3,Which one of the following is the first second-generation computer?,IBM 7090,IBM 801,IBM 7070,IBM 650,A,-,
2,Which of the following is not a factor affecting the processing capability or performance of a PC system?,The      clock     speed      of     the microprocessor,The revolutions per minute of the printer disk,The primary storage capacity of the processor,The    built-in    instruction    set available to the microprocessor,B,-,
1,Condensing output data to exhibit specific information is,Calculating,Recording,Merging,Summarising,D,-,
1,Which of the following is used for manufacturing chips?,control bus,control unit,parity unit,semiconductor,D,-,
3,Which of the following terms applies to communication between separate computer systems?,Computer literacy,Power supply,Applications software,Connectivity,D,-,
2,Output hardware is often categorized according to whether it:,is expensive,requires a large amount of electricity to work,produces hardcopy or softcopy,can fit on a desktop,C,-,
2,"The original ASCII code used _____ bits of each byte, reserving that last bit for error checking.",5,6,7,8,C,-,
3,Which of the following terms is the most closely related to main memory?,nonvolatile,permanent,control unit,temporary,D,-,
2,The computer industry uses prefixes of Greek origin to measure large amounts of data. Which term describes 1024 bytes.,Kilobyte,Megabyte,Gigabyte,Terabyte,A,-,
3,Which kind of storage device can be carried around?,Floppy disk,Hard disk,System cabinet,Hard disk drive,A,-,
2,One nibble is equal to,4 bits,8 bits,6 bits,16 bits,A,-,
3,In which area of the primary storage section are the intermediate processing results held temporarily?,Input storage area,Program storage area,Output storage area,Working storage space,D,-,
2,What is required when more than one person uses a central computer at the same time?,Light pen,Mouse,Digitizer,Terminal,D,-,
3,Conversion of an octal number 208 to its binary number is,100002,101112,101102,111102,A,-,
1,Which of the following is a system programming language for micro-computers in the Intel family.,LOGO,SNOBOL,PCM,PL/1,C,-,
1,Which of the following can be output by a computer?,graphics,voice,text,All of the above,D,-,
1,Sequential file organization is most appropriate for which of the following applications?,grocery-store checkout,bank checking accounts,payroll,airline reservations,C,-,
1,"Who is called the ""grand father"" of the computer?",Blaise Pascal,Charles Babbage,Joseph Jacquard,Dr. Herman Hollerith,B,-,
